chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name	closest feature	distance	within bflag	epsilon	go=peroxisome organization
chr1	121750220	121750505	286	121750278	43	7.25519	2.40411	3.38535	BadSOCS3peaks_peak_26	LINC01691	169.8385			
chr1	122403351	122403646	296	122403442	55	13.9883	3.25191	9.79221	BadSOCS3peaks_peak_27	LINC01691	822.9745			
chr1	122524594	122525005	412	122524728	266	20.5592	1.8787	16.2063	BadSOCS3peaks_peak_28	LINC01691	944.2755			
chr1	122669951	122670232	282	122670017	63	11.15	2.58166	7.05324	BadSOCS3peaks_peak_29	LINC01691	1089.5675			
chr1	122890052	122890393	342	122890148	73	12.6998	2.58967	8.54537	BadSOCS3peaks_peak_30	LINC01691	1309.6985			
chr1	122904154	122904438	285	122904283	76	12.8091	2.54991	8.65159	BadSOCS3peaks_peak_31	LINC01691	1323.772			
chr1	123010078	123010402	325	123010298	32	5.27471	2.27317	1.66013	BadSOCS3peaks_peak_32	LINC01691	1429.716			
chr1	123163381	123163759	379	123163413	21	5.31665	2.74009	1.69739	BadSOCS3peaks_peak_33	LINC01691	1583.046			
chr1	123213349	123213636	288	123213406	65	10.4604	2.4487	6.39091	BadSOCS3peaks_peak_34	LINC01691	1632.9685			
chr1	123285407	123285812	406	123285681	20	10.1207	4.8538	6.06782	BadSOCS3peaks_peak_35	LINC01691	1705.0855			
chr1	123311405	123311731	327	123311554	77	30.3945	4.98439	25.8975	BadSOCS3peaks_peak_36	LINC01691	1731.044			
chr1	123535605	123535907	303	123535681	73	10.5042	2.32564	6.43242	BadSOCS3peaks_peak_37	LINC01691	1955.232			
chr1	123564105	123564433	329	123564372	35	8.89546	3.04729	4.90773	BadSOCS3peaks_peak_38	LINC01691	1983.745			
chr1	123615414	123615699	286	123615587	30	8.48788	3.2121	4.52629	BadSOCS3peaks_peak_39	LINC01691	2035.0325			
chr1	123641773	123642077	305	123641900	61	21.149	4.2708	16.7851	BadSOCS3peaks_peak_40	LINC01691	2061.401			
chr1	123811319	123811618	300	123811506	83	14.65	2.63991	10.4336	BadSOCS3peaks_peak_41	LINC01691	2230.9445			
chr1	124054556	124054857	302	124054740	140	20.7345	2.46368	16.3784	BadSOCS3peaks_peak_42	LINC01691	2474.1825			
chr1	124055749	124056049	301	124055952	159	21.6696	2.37021	17.2982	BadSOCS3peaks_peak_43	LINC01691	2475.375			
chr1	124156121	124156460	340	124156235	40	11.0583	3.31864	6.96525	BadSOCS3peaks_peak_44	LINC01691	2575.7665			
chr1	124209031	124209351	321	124209151	26	6.6753	2.90291	2.86061	BadSOCS3peaks_peak_45	LINC01691	2628.667			
chr1	124250657	124250979	323	124250814	47	22.1132	5.60117	17.7339	BadSOCS3peaks_peak_46	LINC01691	2670.294			
chr1	124450883	124451183	301	124450953	64	12.4445	2.74159	8.29813	BadSOCS3peaks_peak_47	LINC01691	2870.509			
chr1	124727271	124727634	364	124727508	152	26.1896	2.69885	21.7498	BadSOCS3peaks_peak_48	LINC01691	3146.9285			
chr1	124739333	124739670	338	124739480	117	39.217	4.40495	34.6325	BadSOCS3peaks_peak_49	LINC01691	3158.9775			
chr1	124756742	124757025	284	124756922	62	13.3516	2.92396	9.17588	BadSOCS3peaks_peak_50	LINC01691	3176.3595			
chr1	124913883	124914212	330	124914089	62	14.9128	3.162	10.6891	BadSOCS3peaks_peak_51	LINC01691	3333.5235			
chr1	125178978	125179283	306	125179137	2769	69.9978	1.4287	65.218	BadSOCS3peaks_peak_52	LINC01691	3598.6065			
chr1	125179676	125180569	894	125180189	6731	23.8072	1.13459	19.4009	BadSOCS3peaks_peak_53	LINC01691	3599.5985			
chr1	125182245	125182675	431	125182545	4473	149.976	1.51805	144.916	BadSOCS3peaks_peak_54	LINC01691	3601.936			
chr1	143192786	143193206	421	143193124	901	12.3241	1.27948	8.18211	BadSOCS3peaks_peak_55	ENSG00000276118	150.184			
chr1	143194959	143195254	296	143195110	807	75.7172	2.06736	70.9114	BadSOCS3peaks_peak_56	ENSG00000276118	148.0735			
chr1	143202521	143202816	296	143202677	2936	271.818	2.0726	266.526	BadSOCS3peaks_peak_57	ENSG00000276118	140.5115			
chr1	143214354	143214805	452	143214702	3389	126.348	1.55468	121.355	BadSOCS3peaks_peak_58	ENSG00000276118	128.6005			
chr1	143217269	143217610	342	143217527	2002	47.1965	1.40758	42.5526	BadSOCS3peaks_peak_59	ENSG00000276118	125.7405			
chr1	143222162	143222720	559	143222216	424	20.9192	1.6411	16.5601	BadSOCS3peaks_peak_60	ENSG00000276118	120.739			
chr1	143232901	143233220	320	143233063	3521	218.985	1.79356	213.775	BadSOCS3peaks_peak_61	ENSG00000276118	110.1195			
chr1	143239461	143239771	311	143239556	1223	60.1874	1.66229	55.4621	BadSOCS3peaks_peak_62	ENSG00000276118	103.564			
chr1	143245530	143245898	369	143245774	133	11.0268	1.87966	6.93488	BadSOCS3peaks_peak_63	ENSG00000276118	97.466			
chr1	143249770	143250075	306	143249957	801	60.6726	1.90203	55.9444	BadSOCS3peaks_peak_64	ENSG00000276118	93.2575			
chr1	143254548	143254960	413	143254851	1709	75.3928	1.61701	70.5882	BadSOCS3peaks_peak_65	ENSG00000276118	88.426			
chr1	143255551	143255997	447	143255629	680	12.6567	1.33585	8.50398	BadSOCS3peaks_peak_66	ENSG00000276118	87.406			
chr1	143262119	143262909	791	143262771	1854	80.7528	1.61234	75.9243	BadSOCS3peaks_peak_67	ENSG00000276118	80.666			
chr1	143266515	143266879	365	143266804	685	15.3083	1.37931	11.0727	BadSOCS3peaks_peak_68	ENSG00000276118	76.483			
chr1	150876148	150876933	786	150876499	234	300.172	41.0097	294.845	BadSOCS3peaks_peak_69	ARNT	0.0275	1.0	0.53952	
chr1	160283554	160286390	2837	160285089	2551	6352.86	629.837	6345.95	BadSOCS3peaks_peak_70	PEX19	0.124	1.0	-1.58368	1.0
chr1	161450493	161450812	320	161450719	216	8.08889	1.49838	4.15331	BadSOCS3peaks_peak_71	ENSG00000283317	9.6565			
chr1	161454550	161454864	315	161454677	260	11.7721	1.58346	7.65149	BadSOCS3peaks_peak_72	ENSG00000283317	13.711			
chr1	161469294	161469606	313	161469455	262	14.6612	1.68398	10.4442	BadSOCS3peaks_peak_73	ENSG00000283360	1.073			
chr1	179294545	179294871	327	179294767	29	18.3753	7.03322	14.0663	BadSOCS3peaks_peak_74	SOAT1	0.388	1.0	-0.59165	
chr1	204150964	204152321	1358	204151837	566	962.815	108.164	957.054	BadSOCS3peaks_peak_75	ETNK2	0.2145	1.0	0.2438666666666666	
chr1	206611760	206612642	883	206612233	353	474.824	49.8333	469.328	BadSOCS3peaks_peak_76	EIF2D	0.249	1.0	0.22035	
chr1	210233490	210234158	669	210233717	49	34.5214	9.38878	29.98	BadSOCS3peaks_peak_77	SERTAD4-AS1	0.044	1.0		
chr1	248838078	248838426	349	248838259	33	15.8257	5.3068	11.5771	BadSOCS3peaks_peak_78	ZNF672	0.028	1.0	-0.259753333	
chr10	13112130	13112708	579	13112477	86	90.223	20.9202	85.3561	BadSOCS3peaks_peak_79	OPTN	0.068	1.0	-0.231848667	
chr10	21422465	21423175	711	21422769	70	70.8177	18.4239	66.0338	BadSOCS3peaks_peak_80	MRM3P1	28.787			
chr10	22320614	22321042	429	22320854	55	40.5666	10.3223	35.9718	BadSOCS3peaks_peak_81	BMI1	0.271	1.0	0.1474966666666666	
chr10	38919795	38920230	436	38919871	341	8.36786	1.38454	4.41585	BadSOCS3peaks_peak_82	ENSG00000233832	137.0085			
chr10	40412727	40413071	345	40413045	83	6.08037	1.74451	2.3377	BadSOCS3peaks_peak_83	ENSG00000233832	1629.895			
chr10	40545554	40545865	312	40545688	56	17.9031	3.92638	13.6044	BadSOCS3peaks_peak_84	KSR1P1	1603.8395			
chr10	40556527	40556843	317	40556752	377	24.0103	1.77057	19.6015	BadSOCS3peaks_peak_85	KSR1P1	1592.864			
chr10	40596349	40596664	316	40596509	115	20.9937	2.75585	16.6336	BadSOCS3peaks_peak_86	KSR1P1	1553.0425			
chr10	40611439	40611759	321	40611537	41	13.644	3.88469	9.45818	BadSOCS3peaks_peak_87	KSR1P1	1537.95			
chr10	40811002	40811327	326	40811075	69	8.41143	2.12762	4.45495	BadSOCS3peaks_peak_88	KSR1P1	1338.3845			
chr10	40947446	40947788	343	40947643	32	11.1083	3.85081	7.01315	BadSOCS3peaks_peak_89	KSR1P1	1201.932			
chr10	40980985	40981304	320	40981230	437	36.32	1.95271	31.7614	BadSOCS3peaks_peak_90	KSR1P1	1168.4045			
chr10	41883109	41883536	428	41883451	1050	40.1995	1.554	35.6075	BadSOCS3peaks_peak_91	KSR1P1	266.2265			
chr10	41891146	41891433	288	41891282	374	23.9914	1.7745	19.583	BadSOCS3peaks_peak_92	KSR1P1	258.2595			
chr10	41892023	41892488	466	41892102	604	17.4454	1.44782	13.1567	BadSOCS3peaks_peak_93	KSR1P1	257.2935			
chr10	41898851	41899349	499	41898933	882	32.2094	1.53365	27.6915	BadSOCS3peaks_peak_94	KSR1P1	250.449			
chr10	41899763	41900105	343	41899857	643	18.5754	1.44926	14.2621	BadSOCS3peaks_peak_95	KSR1P1	249.615			
chr10	42067206	42067530	325	42067304	201	12.5947	1.73083	8.44394	BadSOCS3peaks_peak_96	KSR1P1	82.181			
chr10	42077069	42077435	367	42077113	189	6.3574	1.45299	2.58462	BadSOCS3peaks_peak_97	KSR1P1	72.297			
chr10	42079630	42079949	320	42079816	377	25.907	1.81658	21.4704	BadSOCS3peaks_peak_98	KSR1P1	69.7595			
chr10	49941530	49941821	292	49941678	17	6.95006	3.7619	3.1079	BadSOCS3peaks_peak_99	PARG	0.2945	1.0	0.3372633333333333	
chr10	78028639	78028986	348	78028798	26	14.3458	5.79124	10.1377	BadSOCS3peaks_peak_100	POLR3A	0.7025	1.0	-0.178923333	
chr10	81502910	81503193	284	81502940	14	6.44058	3.89238	2.65008	BadSOCS3peaks_peak_101	RPA2P2	365.7165			
chr10	84139923	84140405	483	84140179	60	47.9563	11.9141	43.3066	BadSOCS3peaks_peak_102	GHITM	0.351	1.0	0.364466	
chr10	103368106	103368571	466	103368320	53	34.0875	8.42844	29.5512	BadSOCS3peaks_peak_103	TAF5	0.3485	1.0	0.28755	
chr10	113678962	113679636	675	113679330	206	168.297	15.148	163.194	BadSOCS3peaks_peak_104	CASP7	0.095	1.0	0.38602	
chr10	118754507	118754870	364	118754759	18	4.80576	2.73477	1.30313	BadSOCS3peaks_peak_105	CACUL1	0.2115	1.0	0.2093233333333333	
chr10	133640624	133640974	351	133640833	44	31.6723	9.40475	27.1609	BadSOCS3peaks_peak_106	AGGF1P2	0.01	1.0		
chr10	133681098	133681420	323	133681355	192	10.7919	1.66918	6.7095	BadSOCS3peaks_peak_107	DUX4L21	0.89	1.0		
chr10	133687236	133687519	284	133687339	578	19.7924	1.50222	15.4542	BadSOCS3peaks_peak_108	DUX4L20	3.7095			
chr10	133688229	133688807	579	133688355	2055	60.9433	1.47338	56.2134	BadSOCS3peaks_peak_109	DUX4L20	4.85			
chr10	133689276	133689953	678	133689412	1971	82.3521	1.59556	77.5163	BadSOCS3peaks_peak_110	DUX4L20	5.9465			
chr10	133757246	133757629	384	133757522	202	5.81692	1.40696	2.11043	BadSOCS3peaks_peak_111	DUX4L14	0.8785	1.0		
chr10	133763427	133763755	329	133763557	611	31.1909	1.66737	26.6848	BadSOCS3peaks_peak_112	DUX4L15	3.732			
chr11	805101	805419	319	805311	16	5.46941	3.17824	1.81996	BadSOCS3peaks_peak_113	PIDD1	0.029	1.0		
chr11	2444867	2445156	290	2444953	22	9.88663	4.45239	5.84516	BadSOCS3peaks_peak_114	KCNQ1	0.0035	1.0	-0.173456667	
chr11	13278166	13279023	858	13278551	190	215.332	29.4149	210.129	BadSOCS3peaks_peak_115	BMAL1	0.7095	1.0		
chr11	13965228	13965629	402	13965461	34	21.3783	7.31481	17.0114	BadSOCS3peaks_peak_116	SPON1	2.7055		0.2412099999999999	
chr11	45083226	45083523	298	45083402	13	5.53344	3.5351	1.87613	BadSOCS3peaks_peak_117	PRDM11	12.4315		-0.663413333	
chr11	51300311	51300606	296	51300517	26	10.8685	4.35246	6.78313	BadSOCS3peaks_peak_118	ENSG00000214883	891.4165			
chr11	51406629	51406913	285	51406813	29	9.95904	3.73648	5.91324	BadSOCS3peaks_peak_119	ENSG00000214883	997.729			
chr11	53265234	53265529	296	53265348	17	8.77835	4.67086	4.79818	BadSOCS3peaks_peak_120	OR4C50P	1326.0985			
chr11	57324309	57324598	290	57324530	18	8.16646	4.21322	4.225	BadSOCS3peaks_peak_121	TNKS1BP1	0.4985	1.0	0.2683066666666666	
chr11	64250899	64251684	786	64251300	133	136.396	22.2018	131.374	BadSOCS3peaks_peak_122	PLCB3	0.2385	1.0	0.96531	
chr11	64284632	64285130	499	64284850	26	13.85	5.57238	9.65869	BadSOCS3peaks_peak_123	GPR137	0.001	1.0	0.4821766666666667	
chr11	66051765	66052338	574	66052125	60	41.3044	9.52102	36.7043	BadSOCS3peaks_peak_124	SF3B2	0.2795	1.0	0.5866283333333333	
chr11	94910158	94912420	2263	94911600	1047	2047.42	196.789	2041.34	BadSOCS3peaks_peak_125	ST13P11	1.758			
chr11	94912715	94913151	437	94912978	20	11.3242	5.44933	7.2203	BadSOCS3peaks_peak_126	ST13P11	0.114	1.0		
chr11	94973400	94974060	661	94973690	114	129.427	26.3941	124.425	BadSOCS3peaks_peak_127	KDM4D	0.021	1.0	-0.568443333	
chr11	95151195	95151548	354	95151411	42	20.6085	5.74233	16.2544	BadSOCS3peaks_peak_128	LNCRNA-IUR	0.0105	1.0		
chr11	102452338	102452934	597	102452720	78	65.6629	13.7862	60.9071	BadSOCS3peaks_peak_129	TMEM123	0.084	1.0	-0.641863333	
chr11	117703433	117703724	292	117703707	13	5.38481	3.45522	1.74699	BadSOCS3peaks_peak_130	ENSG00000270403	35.0955			
chr11	117986178	117986742	565	117986434	77	63.539	13.2965	58.7943	BadSOCS3peaks_peak_131	IL10RA	0.019	1.0	0.2516366666666667	
chr11	129990372	129990924	553	129990722	24	14.9946	6.4873	10.767	BadSOCS3peaks_peak_132	PRDM10	12.137		-0.489356667	
chr12	6607186	6607471	286	6607317	21	10.1308	4.7034	6.07748	BadSOCS3peaks_peak_133	CHD4	0.0055	1.0	-0.275976667	
chr12	6766675	6767394	720	6767023	153	139.378	17.9704	134.348	BadSOCS3peaks_peak_134	MLF2	0.4405	1.0	0.5443766666666666	
chr12	26927108	26928406	1299	26927864	674	1312.28	175.157	1306.39	BadSOCS3peaks_peak_135	INTS13	1.299			
chr12	33500052	33500338	287	33500245	17	8.77835	4.67086	4.79818	BadSOCS3peaks_peak_136	ENSG00000256070	45.85			
chr12	35986138	35986654	517	35986514	27	9.45354	3.73919	5.43515	BadSOCS3peaks_peak_137	ZNF970P	1589.191			
chr12	47905193	47905958	766	47905585	229	312.801	47.7693	307.46	BadSOCS3peaks_peak_138	ENSG00000278385	0.4535	1.0		
chr12	113098447	113098986	540	113098780	31	21.1347	7.86801	16.7711	BadSOCS3peaks_peak_139	DTX1	3.6765		0.060378	
chr12	121537670	121538360	691	121537967	87	81.9262	17.1875	77.0932	BadSOCS3peaks_peak_140	KDM2B	0.399	1.0	-0.144956667	
chr12	123533712	123534064	353	123533903	39	18.1699	5.3417	13.8645	BadSOCS3peaks_peak_141	RILPL1	0.169	1.0	-0.064963333	
chr13	16567488	16567997	510	16567766	19	6.64291	3.40937	2.83094	BadSOCS3peaks_peak_142	ENSG00000279924	1610.7225			
chr13	16576250	16576534	285	16576450	22	7.79344	3.58989	3.88254	BadSOCS3peaks_peak_143	ENSG00000279924	1602.073			
chr13	16652444	16652827	384	16652690	21	8.84696	4.13106	4.86289	BadSOCS3peaks_peak_144	ENSG00000279924	1525.8295			
chr13	16757066	16757347	282	16757328	19	5.9483	3.12164	2.22019	BadSOCS3peaks_peak_145	ENSG00000279924	1421.2585			
chr13	16770028	16770344	317	16770275	37	4.9366	2.07627	1.40185	BadSOCS3peaks_peak_146	ENSG00000279924	1408.279			
chr13	16861394	16861797	404	16861714	30	9.13162	3.40273	5.13013	BadSOCS3peaks_peak_147	ENSG00000279924	1316.8695			
chr13	16902545	16902863	319	16902808	18	5.37303	2.96556	1.73797	BadSOCS3peaks_peak_148	ENSG00000279924	1275.761			
chr13	16946919	16947241	323	16947028	22	5.83892	2.86464	2.12638	BadSOCS3peaks_peak_149	ENSG00000279924	1231.385			
chr13	17130038	17130358	321	17130297	32	7.3501	2.79335	3.4723	BadSOCS3peaks_peak_150	ENSG00000279924	1048.267			
chr13	17234995	17235359	365	17235057	26	6.86903	2.96367	3.03671	BadSOCS3peaks_peak_151	ENSG00000279924	943.288			
chr13	17311302	17311586	285	17311543	36	7.4089	2.6473	3.52599	BadSOCS3peaks_peak_152	ENSG00000279924	867.021			
chr13	17359797	17360161	365	17360112	57	10.1375	2.56325	6.08392	BadSOCS3peaks_peak_153	ENSG00000279924	818.486			
chr13	17392636	17392926	291	17392703	38	5.6101	2.19578	1.9395	BadSOCS3peaks_peak_154	ENSG00000279924	785.684			
chr13	17510044	17510328	285	17510167	14	6.44058	3.89238	2.65008	BadSOCS3peaks_peak_155	ENSG00000279924	668.279			
chr13	17552063	17552368	306	17552227	34	14.3218	4.67399	10.1147	BadSOCS3peaks_peak_156	ENSG00000279924	626.2495			
chr13	17575075	17575445	371	17575222	49	13.6765	3.44419	9.49009	BadSOCS3peaks_peak_157	ENSG00000279924	603.205			
chr13	17861660	17862129	470	17861808	57	12.9262	3.00346	8.76444	BadSOCS3peaks_peak_158	ENSG00000279924	316.5705			
chr13	18211842	18212235	394	18212052	1704	67.361	1.5721	62.5959	BadSOCS3peaks_peak_159	FAM230C	0.0795	1.0		
chr13	19863568	19864641	1074	19863973	211	192.635	18.8059	187.478	BadSOCS3peaks_peak_160	ENSG00000275964	0.2665	1.0		
chr13	22781462	22781804	343	22781571	24	14.7909	6.3865	10.5709	BadSOCS3peaks_peak_161	SNORD36	21.512			
chr13	44917799	44918085	287	44917953	53	10.0098	2.63868	5.96198	BadSOCS3peaks_peak_162	NUFIP1	71.529		-0.409653667	
chr13	58116638	58117895	1258	58117226	341	511.264	66.797	505.739	BadSOCS3peaks_peak_163	LINC02338	48.5605			
chr13	95370861	95371248	388	95371113	23	14.0499	6.22781	9.85034	BadSOCS3peaks_peak_164	MEMO1P5	22.9945			
chr13	110706080	110706635	556	110706286	88	73.3067	13.8913	68.5111	BadSOCS3peaks_peak_165	CARS2	0.1115	1.0	-0.09652	
chr14	16518635	16518983	349	16518799	25	9.80107	4.05814	5.7637	BadSOCS3peaks_peak_166	5_8S_rRNA	461.337			
chr14	16780325	16780721	397	16780652	67	9.51856	2.29292	5.4963	BadSOCS3peaks_peak_167	5_8S_rRNA	723.051			
chr14	16938297	16938611	315	16938404	15	7.1946	4.15187	3.32783	BadSOCS3peaks_peak_168	5_8S_rRNA	880.982			
chr14	16944777	16945155	379	16945123	22	7.06379	3.31051	3.21235	BadSOCS3peaks_peak_169	5_8S_rRNA	887.494			
chr14	16983724	16984077	354	16984048	19	4.80449	2.67085	1.30313	BadSOCS3peaks_peak_170	5_8S_rRNA	926.4285			
chr14	17031430	17031746	317	17031678	26	8.09964	3.36283	4.16291	BadSOCS3peaks_peak_171	5_8S_rRNA	974.116			
chr14	17124481	17124780	300	17124709	18	7.65594	3.97089	3.75415	BadSOCS3peaks_peak_172	5_8S_rRNA	1067.1585			
chr14	17354238	17354590	353	17354246	61	5.59163	1.854	1.92544	BadSOCS3peaks_peak_173	ENSG00000215398	979.312			
chr14	17498927	17499293	367	17499271	50	8.31242	2.42794	4.3642	BadSOCS3peaks_peak_174	ENSG00000215398	834.616			
chr14	17508063	17508375	313	17508263	23	7.8361	3.51441	3.92312	BadSOCS3peaks_peak_175	ENSG00000215398	825.507			
chr14	17559557	17559884	328	17559829	47	9.88261	2.78735	5.84122	BadSOCS3peaks_peak_176	ENSG00000215398	774.0055			
chr14	17802183	17802474	292	17802216	30	10.6074	3.86103	6.5319	BadSOCS3peaks_peak_177	ENSG00000215398	531.3975			
chr14	17851812	17852222	411	17852066	26	7.45448	3.15066	3.56669	BadSOCS3peaks_peak_178	ENSG00000215398	481.709			
chr14	18009984	18010317	334	18010303	21	5.31665	2.74009	1.69739	BadSOCS3peaks_peak_179	ENSG00000215398	323.5755			
chr14	18044875	18045159	285	18045019	88	28.9949	4.23699	24.5156	BadSOCS3peaks_peak_180	ENSG00000215398	288.709			
chr14	18101505	18101872	368	18101844	30	4.82243	2.21801	1.31329	BadSOCS3peaks_peak_181	ENSG00000215398	232.0375			
chr14	49501399	49501742	344	49501600	18	9.60542	4.93035	5.57639	BadSOCS3peaks_peak_182	RNA5SP384	51.0625			
chr14	54902916	54903254	339	54903139	17	7.6553	4.10252	3.75415	BadSOCS3peaks_peak_183	GCH1	0.259	1.0	-0.435893333	
chr14	55213268	55213848	581	55213549	43	35.5977	11.4177	31.0458	BadSOCS3peaks_peak_184	ENSG00000258050	14.545			
chr14	64504464	64505356	893	64505045	117	128.091	24.6613	123.093	BadSOCS3peaks_peak_185	ZBTB1	0.14	1.0	-0.485743333	
chr14	89417149	89417999	851	89417459	426	462.431	29.4134	456.945	BadSOCS3peaks_peak_186	FOXN3-AS1	0.22	1.0		
chr14	93743259	93744512	1254	93743945	204	258.989	38.8804	253.716	BadSOCS3peaks_peak_187	PRIMA1	43.8735		-0.25864	
chr14	105034549	105034884	336	105034636	21	7.15935	3.43381	3.30081	BadSOCS3peaks_peak_188	CDCA4	13.6335		0.8309633333333333	
chr14	105398257	105398818	562	105398576	59	29.387	6.21697	24.9025	BadSOCS3peaks_peak_189	TEX22	0.0005	1.0	-0.07383	
chr14_GL000225v1_random	13640	13986	347	13917	299	12.0587	1.54189	7.92729	BadSOCS3peaks_peak_190					
chr14_GL000225v1_random	33395	33979	585	33706	232	11.2641	1.60886	7.16311	BadSOCS3peaks_peak_191					
chr14_GL000225v1_random	40438	40867	430	40552	182	8.03876	1.55363	4.10576	BadSOCS3peaks_peak_192					
chr14_GL000225v1_random	41467	42303	837	42205	221	15.8418	1.81797	11.5924	BadSOCS3peaks_peak_193					
chr14_GL000225v1_random	50595	51001	407	50857	931	55.8042	1.75918	51.1035	BadSOCS3peaks_peak_194					
chr14_GL000225v1_random	70606	71304	699	71185	851	27.3205	1.48819	22.8631	BadSOCS3peaks_peak_195					
chr14_GL000225v1_random	73890	74615	726	74014	447	26.5862	1.7376	22.1389	BadSOCS3peaks_peak_196					
chr14_GL000225v1_random	85600	85999	400	85673	802	32.7809	1.57517	28.2577	BadSOCS3peaks_peak_197					
chr14_GL000225v1_random	90928	91295	368	90971	271	11.3679	1.55338	7.26164	BadSOCS3peaks_peak_198					
chr14_GL000225v1_random	92326	92826	501	92734	450	18.0333	1.55374	13.7304	BadSOCS3peaks_peak_199					
chr14_GL000225v1_random	93431	93744	314	93506	250	13.8582	1.67681	9.66637	BadSOCS3peaks_peak_200					
chr14_GL000225v1_random	112384	112936	553	112528	605	16.5538	1.43169	12.2866	BadSOCS3peaks_peak_201					
chr14_GL000225v1_random	115069	115436	368	115192	430	20.5699	1.6273	16.2168	BadSOCS3peaks_peak_202					
chr14_GL000225v1_random	116665	117137	473	117007	486	18.953	1.54535	14.631	BadSOCS3peaks_peak_203					
chr14_GL000225v1_random	122841	123244	404	122911	249	14.4576	1.70085	10.2463	BadSOCS3peaks_peak_204					
chr14_GL000225v1_random	131626	132025	400	131737	695	41.5216	1.75172	36.9203	BadSOCS3peaks_peak_205					
chr14_KI270723v1_random	36327	36652	326	36591	120	12.2577	2.03723	8.11884	BadSOCS3peaks_peak_206					
chr14_KI270847v1_alt	857809	859043	1235	858505	225	322.54	53.7528	317.187	BadSOCS3peaks_peak_207					
chr15	17080556	17080952	397	17080836	282	11.7912	1.55383	7.66957	BadSOCS3peaks_peak_208	ENSG00000215567	2797.801			
chr15	17200071	17200444	374	17200398	20	6.54403	3.27773	2.74021	BadSOCS3peaks_peak_209	ENSG00000215567	2678.2975			
