chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name	closest feature	distance	within bflag	epsilon	go=peroxisome organization
chr1	143247056	143247388	333	143247264	613	35.0952	1.72566	29.9681	GoodSOCS3peaks_peak_45	ENSG00000276118	95.958			
chr1	143251711	143252097	387	143251981	676	20.7383	1.46907	15.9392	GoodSOCS3peaks_peak_46	ENSG00000276118	91.276			
chr1	143254549	143254929	381	143254851	2126	82.1433	1.56517	76.5127	GoodSOCS3peaks_peak_47	ENSG00000276118	88.441			
chr1	143255550	143256011	462	143255625	915	14.7809	1.31139	10.2005	GoodSOCS3peaks_peak_48	ENSG00000276118	87.3995			
chr1	143262118	143262913	796	143262762	2478	93.8191	1.55857	88.0999	GoodSOCS3peaks_peak_49	ENSG00000276118	80.6645			
chr10	38919830	38920175	346	38919867	433	9.21268	1.35573	4.98463	GoodSOCS3peaks_peak_50	ENSG00000233832	136.9985			
chr10	39954577	39954909	333	39954748	38	22.0442	6.82678	17.2062	GoodSOCS3peaks_peak_51	ENSG00000233832	1171.739			
chr10	40289591	40289931	341	40289709	64	10.49	2.471	6.16283	GoodSOCS3peaks_peak_52	ENSG00000233832	1506.757			
chr10	40412721	40413082	362	40413048	124	10.6474	1.89879	6.30809	GoodSOCS3peaks_peak_53	ENSG00000233832	1629.8975			
chr10	40507786	40508129	344	40507807	83	7.0937	1.8488	3.08806	GoodSOCS3peaks_peak_54	KSR1P1	1641.5915			
chr10	40556452	40556848	397	40556748	510	33.8459	1.80505	28.7412	GoodSOCS3peaks_peak_55	KSR1P1	1592.899			
chr10	40771294	40771616	323	40771499	106	12.1814	2.13369	7.74003	GoodSOCS3peaks_peak_56	KSR1P1	1378.094			
chr10	41125389	41125704	316	41125488	66	6.87475	1.97119	2.89503	GoodSOCS3peaks_peak_57	KSR1P1	1024.0025			
chr10	41883129	41883530	402	41883451	1301	34.465	1.43518	29.3484	GoodSOCS3peaks_peak_58	KSR1P1	266.2195			
chr10	41892041	41892468	428	41892104	702	10.5052	1.29152	6.17693	GoodSOCS3peaks_peak_59	KSR1P1	257.2945			
chr10	41898893	41899328	436	41898935	985	16.1254	1.31526	11.4844	GoodSOCS3peaks_peak_60	KSR1P1	250.4385			
chr10	42099806	42100115	310	42100018	64	9.42156	2.32722	5.17627	GoodSOCS3peaks_peak_61	KSR1P1	49.5885			
chr10	78047139	78047885	747	78047523	73	43.834	8.1506	38.5906	GoodSOCS3peaks_peak_62	RPS24	8.956			
chr10	86254489	86254944	456	86254688	35	21.4582	7.14814	16.6372	GoodSOCS3peaks_peak_63	MIR346	10.0715			
chr10	133681077	133681468	392	133681299	263	14.178	1.66517	9.62592	GoodSOCS3peaks_peak_64	DUX4L21	0.9035	1.0		
chr10	133688222	133688806	585	133688354	2737	66.1069	1.41627	60.6169	GoodSOCS3peaks_peak_65	DUX4L20	4.846			
chr10	133689286	133689959	674	133689413	2439	59.3826	1.41764	53.9686	GoodSOCS3peaks_peak_66	DUX4L20	5.9545			
chr10	133744036	133744377	342	133744290	233	5.54446	1.36041	1.76664	GoodSOCS3peaks_peak_67	DUX4L10	0.8745	1.0		
chr11	72135384	72136124	741	72135674	62	46.3768	10.8432	41.1028	GoodSOCS3peaks_peak_68	FOLR3	0.029	1.0	-0.21715	
chr11	72171817	72172525	709	72172163	93	77.7941	14.1426	72.2001	GoodSOCS3peaks_peak_69	ENSG00000255860	0.284	1.0		
chr12	35135869	35136217	349	35135916	29	7.13289	2.87753	3.12003	GoodSOCS3peaks_peak_70	AK6P1	886.562			
chr12	35459594	35459917	324	35459821	34	11.6558	3.85501	7.24823	GoodSOCS3peaks_peak_71	AK6P1	1210.2745			
chr12	35825550	35825924	375	35825573	21	6.33835	3.11645	2.42948	GoodSOCS3peaks_peak_72	AK6P1	1576.256			
chr12	37099247	37099600	354	37099365	20	7.51287	3.67596	3.45817	GoodSOCS3peaks_peak_73	ZNF970P	476.1635			
chr12	121624537	121625029	493	121624765	60	44.9046	10.7704	39.6485	GoodSOCS3peaks_peak_74	ORAI1	1.726		0.3044699999999999	
chr13	16250354	16250690	337	16250608	61	6.85091	2.0246	2.8763	GoodSOCS3peaks_peak_75	ENSG00000279924	1927.943			
chr13	16251065	16251682	618	16251323	106	5.66546	1.59751	1.86551	GoodSOCS3peaks_peak_76	ENSG00000279924	1927.0915			
chr13	16255470	16255808	339	16255621	70	6.61838	1.90064	2.66865	GoodSOCS3peaks_peak_77	ENSG00000279924	1922.826			
chr13	16360080	16360460	381	16360178	39	12.0049	3.60398	7.57363	GoodSOCS3peaks_peak_78	ENSG00000279924	1818.195			
chr13	16509850	16510217	368	16510087	22	6.92378	3.25811	2.9352	GoodSOCS3peaks_peak_79	ENSG00000279924	1668.4315			
chr13	16539827	16540141	315	16539948	53	15.2538	3.56709	10.6503	GoodSOCS3peaks_peak_80	ENSG00000279924	1638.481			
chr13	16567382	16567978	597	16567746	29	9.43549	3.56895	5.18918	GoodSOCS3peaks_peak_81	ENSG00000279924	1610.785			
chr13	16652419	16652861	443	16652755	30	11.0637	4.00902	6.69612	GoodSOCS3peaks_peak_82	ENSG00000279924	1525.825			
chr13	16861400	16861801	402	16861742	37	10.8132	3.42378	6.4626	GoodSOCS3peaks_peak_83	ENSG00000279924	1316.8645			
chr13	16946952	16947287	336	16947021	30	7.0064	2.79308	3.00929	GoodSOCS3peaks_peak_84	ENSG00000279924	1231.3455			
chr13	17027194	17027546	353	17027489	28	8.40901	3.31886	4.25828	GoodSOCS3peaks_peak_85	ENSG00000279924	1151.095			
chr13	17054493	17054814	322	17054506	51	7.29538	2.23969	3.26015	GoodSOCS3peaks_peak_86	ENSG00000279924	1123.8115			
chr13	17130039	17130349	311	17130104	36	6.0487	2.34005	2.18102	GoodSOCS3peaks_peak_87	ENSG00000279924	1048.271			
chr13	17266840	17267153	314	17266953	48	13.9724	3.55281	9.43051	GoodSOCS3peaks_peak_88	ENSG00000279924	911.4685			
chr13	17311300	17311609	310	17311483	51	15.7823	3.77033	11.1565	GoodSOCS3peaks_peak_89	ENSG00000279924	867.0105			
chr13	17339795	17340207	413	17340097	32	10.3878	3.63473	6.0676	GoodSOCS3peaks_peak_90	ENSG00000279924	838.464			
chr13	17359788	17360199	412	17360124	80	11.8806	2.38308	7.45738	GoodSOCS3peaks_peak_91	ENSG00000279924	818.4715			
chr13	17401852	17402434	583	17401983	77	11.7322	2.40964	7.31891	GoodSOCS3peaks_peak_92	ENSG00000279924	776.322			
chr13	17538074	17538751	678	17538410	29	8.58197	3.3043	4.41205	GoodSOCS3peaks_peak_93	ENSG00000279924	640.0525			
chr13	17605871	17606186	316	17605886	27	5.45188	2.48943	1.69088	GoodSOCS3peaks_peak_94	ENSG00000279924	572.4365			
chr13	17861699	17862147	449	17861807	66	11.4895	2.56744	7.09441	GoodSOCS3peaks_peak_95	ENSG00000279924	316.542			
chr13	17931117	17931430	314	17931200	30	7.71294	2.98963	3.63281	GoodSOCS3peaks_peak_96	ENSG00000279924	247.1915			
chr13	18174051	18174445	395	18174227	26	5.11759	2.43268	1.41633	GoodSOCS3peaks_peak_97	ENSG00000279924	4.217			
chr13	18211865	18212201	337	18212082	2119	59.7383	1.45816	54.3202	GoodSOCS3peaks_peak_98	FAM230C	0.074	1.0		
chr13	27997883	27998300	418	27998094	41	24.8196	7.33443	19.9126	GoodSOCS3peaks_peak_99	RN7SL272P	8.5075			
chr14	16126706	16127066	361	16126790	21	8.18694	3.851	4.05779	GoodSOCS3peaks_peak_100	5_8S_rRNA	69.414			
chr14	16370791	16371439	649	16371029	86	14.8417	2.61133	10.2572	GoodSOCS3peaks_peak_101	5_8S_rRNA	313.643			
chr14	16451333	16451733	401	16451689	26	9.43827	3.82473	5.19132	GoodSOCS3peaks_peak_102	5_8S_rRNA	394.061			
chr14	16662097	16662419	323	16662172	43	9.17945	2.78276	4.9555	GoodSOCS3peaks_peak_103	5_8S_rRNA	604.786			
chr14	16668437	16668758	322	16668621	29	9.43549	3.56895	5.18918	GoodSOCS3peaks_peak_104	5_8S_rRNA	611.1255			
chr14	16780277	16780709	433	16780650	97	15.1919	2.48885	10.5914	GoodSOCS3peaks_peak_105	5_8S_rRNA	723.021			
chr14	16878231	16878627	397	16878465	21	8.18694	3.851	4.05779	GoodSOCS3peaks_peak_106	5_8S_rRNA	820.957			
chr14	16944758	16945338	581	16945130	33	12.0186	4.04481	7.58638	GoodSOCS3peaks_peak_107	5_8S_rRNA	887.576			
chr14	17046536	17046845	310	17046637	68	10.5795	2.41229	6.24456	GoodSOCS3peaks_peak_108	5_8S_rRNA	989.2185			
chr14	17214681	17215010	330	17214729	29	10.3968	3.87969	6.07486	GoodSOCS3peaks_peak_109	ENSG00000215398	1118.8805			
chr14	17357223	17357660	438	17357314	29	5.95105	2.5484	2.09825	GoodSOCS3peaks_peak_110	ENSG00000215398	976.2845			
chr14	17427395	17427724	330	17427639	61	7.53516	2.11772	3.47514	GoodSOCS3peaks_peak_111	ENSG00000215398	906.1665			
chr14	17498890	17499319	430	17499266	86	18.1626	2.97164	13.4468	GoodSOCS3peaks_peak_112	ENSG00000215398	834.6215			
chr14	17535459	17535786	328	17535784	81	5.14535	1.65742	1.44175	GoodSOCS3peaks_peak_113	ENSG00000215398	798.1035			
chr14	17608102	17608453	352	17608155	79	10.2815	2.22164	5.9679	GoodSOCS3peaks_peak_114	ENSG00000215398	725.4485			
chr14	17638397	17638976	580	17638488	26	6.90137	2.97387	2.91635	GoodSOCS3peaks_peak_115	ENSG00000215398	695.0395			
chr14	18103517	18103828	312	18103663	118	19.7652	2.61913	14.995	GoodSOCS3peaks_peak_116	ENSG00000215398	230.0535			
chr14	18152416	18152732	317	18152477	24	6.52441	2.97413	2.58894	GoodSOCS3peaks_peak_117	ENSG00000215398	181.152			
chr14	18171844	18172173	330	18172130	33	7.8927	2.88818	3.79251	GoodSOCS3peaks_peak_118	ENSG00000215398	161.7175			
chr14	19466498	19466849	352	19466712	38	9.16312	2.97287	4.94081	GoodSOCS3peaks_peak_119	MED15P6	18.6625			
chr14	19703675	19704000	326	19703979	40	7.26665	2.48712	3.23714	GoodSOCS3peaks_peak_120	ENSG00000257142	3.1875			
chr14	32484719	32485187	469	32484819	25	10.1062	4.17447	5.80675	GoodSOCS3peaks_peak_121	MTCO1P2	0.153	1.0		
chr14_GL000194v1_random	158392	158752	361	158564	21	7.71104	3.65497	3.63102	GoodSOCS3peaks_peak_122					
chr14_GL000225v1_random	7564	8047	484	7591	176	5.24881	1.40977	1.52199	GoodSOCS3peaks_peak_123					
chr14_GL000225v1_random	13664	13976	313	13935	386	11.405	1.44251	7.01438	GoodSOCS3peaks_peak_124					
chr14_GL000225v1_random	33312	33916	605	33675	284	11.5263	1.54221	7.12744	GoodSOCS3peaks_peak_125					
chr14_GL000225v1_random	41490	42270	781	42200	266	11.6596	1.5707	7.25185	GoodSOCS3peaks_peak_126					
chr14_GL000225v1_random	50600	51002	403	50857	1212	64.9611	1.70375	59.4843	GoodSOCS3peaks_peak_127					
chr14_GL000225v1_random	70622	71288	667	70910	1024	12.5061	1.26189	8.04519	GoodSOCS3peaks_peak_128					
chr14_GL000225v1_random	73901	74607	707	74019	536	19.5933	1.52366	14.8285	GoodSOCS3peaks_peak_129					
chr14_GL000225v1_random	85612	86001	390	85681	959	29.1383	1.4723	24.1301	GoodSOCS3peaks_peak_130					
chr14_GL000225v1_random	90926	91287	362	90979	356	13.0708	1.51293	8.57632	GoodSOCS3peaks_peak_131					
chr14_GL000225v1_random	92322	92831	510	92743	612	23.9482	1.55247	19.0627	GoodSOCS3peaks_peak_132					
chr14_GL000225v1_random	101321	101701	381	101599	343	18.5445	1.67807	13.8157	GoodSOCS3peaks_peak_133					
chr14_GL000225v1_random	112386	112929	544	112527	804	18.8292	1.3944	14.0901	GoodSOCS3peaks_peak_134					
chr14_GL000225v1_random	115069	115445	377	115164	566	24.9886	1.59962	20.0773	GoodSOCS3peaks_peak_135					
chr14_GL000225v1_random	122842	123249	408	122945	333	20.1915	1.73773	15.4084	GoodSOCS3peaks_peak_136					
chr14_GL000225v1_random	131624	132010	387	131722	865	36.1149	1.5851	30.9713	GoodSOCS3peaks_peak_137					
chr15	17080550	17080887	338	17080850	318	5.73261	1.30713	1.92468	GoodSOCS3peaks_peak_138	ENSG00000215567	2797.8365			
chr15	18133045	18133443	399	18133230	18	6.22468	3.32587	2.33247	GoodSOCS3peaks_peak_139	ENSG00000215567	1745.311			
chr15	18566159	18566497	339	18566211	43	6.67852	2.2943	2.72135	GoodSOCS3peaks_peak_140	ENSG00000215567	1312.227			
chr15	19027993	19028334	342	19028141	59	11.0896	2.66144	6.71992	GoodSOCS3peaks_peak_141	ENSG00000215567	850.3915			
chr15	51859160	51860106	947	51859658	205	271.782	43.2373	265.364	GoodSOCS3peaks_peak_142	Metazoa_SRP	1.281			
chr16	34571799	34572140	342	34572098	368	7.65271	1.34503	3.57967	GoodSOCS3peaks_peak_143	ENSG00000286968	125.4035			
chr16	34582913	34583705	793	34583484	2458	80.56	1.50708	74.9421	GoodSOCS3peaks_peak_144	ENSG00000286968	136.743			
chr16	34585686	34586004	319	34585805	602	6.12447	1.22275	2.25071	GoodSOCS3peaks_peak_145	ENSG00000286968	139.279			
chr16	34593223	34593588	366	34593448	1162	91.4414	1.93552	85.7422	GoodSOCS3peaks_peak_146	ENSG00000286968	146.8395			
chr16	34595421	34595784	364	34595486	1094	57.1864	1.68981	51.7981	GoodSOCS3peaks_peak_147	ENSG00000286968	149.0365			
chr16	34725635	34726023	389	34725864	79	16.0967	2.8809	11.4568	GoodSOCS3peaks_peak_148	ENSG00000279165	216.148			
chr16	36827356	36827694	339	36827463	27	15.1561	5.97234	10.5574	GoodSOCS3peaks_peak_149	PPP1R1AP2	915.405			
chr16	36921374	36921775	402	36921447	44	10.2923	2.97257	5.97797	GoodSOCS3peaks_peak_150	PPP1R1AP2	1009.4545			
chr16	46387697	46388059	363	46387932	3026	117.031	1.56794	111.16	GoodSOCS3peaks_peak_151	ENSG00000290429	90.561			
chr16	46388663	46389015	353	46388931	2241	17.2082	1.20416	12.5268	GoodSOCS3peaks_peak_152	ENSG00000290429	89.6			
chr16	46390524	46391278	755	46390680	4058	36.7422	1.22951	31.589	GoodSOCS3peaks_peak_153	ENSG00000290429	87.538			
chr16	46394515	46395065	551	46394782	3516	75.3851	1.3873	69.814	GoodSOCS3peaks_peak_154	ENSG00000290429	83.649			
chr16	46398619	46398949	331	46398794	2857	46.4395	1.32472	41.1649	GoodSOCS3peaks_peak_155	ENSG00000290429	79.655			
chr16	46399308	46399672	365	46399503	3051	100.4	1.50981	94.6334	GoodSOCS3peaks_peak_156	ENSG00000290429	78.949			
chr16	46400115	46400705	591	46400290	2732	59.68	1.39044	54.2626	GoodSOCS3peaks_peak_157	ENSG00000290429	78.029			
chr16	73300322	73300632	311	73300627	15	5.74876	3.41277	1.93004	GoodSOCS3peaks_peak_158	ENSG00000279120	6.181			
chr17	21976081	21976743	663	21976459	1043	34.9956	1.50626	29.8701	GoodSOCS3peaks_peak_159	ENSG00000265233	80.343			
chr17	21991432	21991835	404	21991688	202	12.5887	1.72805	8.12212	GoodSOCS3peaks_peak_160	ENSG00000265233	65.1215			
chr17	22815606	22815924	319	22815676	37	10.0305	3.22797	5.73653	GoodSOCS3peaks_peak_161	WEE1P2	111.35			
chr17	23010288	23010915	628	23010648	30	6.41687	2.63334	2.49714	GoodSOCS3peaks_peak_162	WEE1P2	306.1865			
chr17	26069497	26069870	374	26069729	28	8.66721	3.40024	4.48898	GoodSOCS3peaks_peak_163	ENSG00000263433	912.0105			
chr17	26549066	26549479	414	26549153	72	12.7437	2.61365	8.2673	GoodSOCS3peaks_peak_164	ENSG00000263433	432.4215			
chr17	26568428	26568810	383	26568721	84	15.5018	2.71595	10.8882	GoodSOCS3peaks_peak_165	ENSG00000263433	413.075			
chr17	26572704	26573042	339	26572735	86	11.7074	2.28772	7.29635	GoodSOCS3peaks_peak_166	ENSG00000263433	408.821			
chr17	26619569	26619915	347	26619804	2543	48.5178	1.35801	43.2193	GoodSOCS3peaks_peak_167	ENSG00000263433	361.952			
chr17	26881054	26881511	458	26881296	2296	74.6675	1.50399	69.1027	GoodSOCS3peaks_peak_168	ENSG00000263433	100.4115			
chr17	26882430	26882987	558	26882546	2182	17.6	1.2101	12.9044	GoodSOCS3peaks_peak_169	ENSG00000263433	98.9855			
chr17	26883965	26884330	366	26884115	2469	90.7935	1.54767	85.0995	GoodSOCS3peaks_peak_170	ENSG00000263433	97.5465			
chr17	26939666	26940026	361	26939960	264	6.81954	1.38846	2.84858	GoodSOCS3peaks_peak_171	ENSG00000263433	41.848			
chr17	65342930	65343840	911	65343426	121	124.109	21.7821	118.198	GoodSOCS3peaks_peak_172	LINC02563	114.156			
chr17	78357167	78361030	3864	78359869	5545	11765.3	336.429	11756.2	GoodSOCS3peaks_peak_173	SOCS3	0.9755	1.0	-1.21738	
chr17	79672358	79672758	401	79672554	55	23.6733	5.22159	18.7951	GoodSOCS3peaks_peak_174	MIR4739	34.691			
chr17_KI270729v1_random	280117	280451	335	280363	107	11.1745	2.04388	6.79913	GoodSOCS3peaks_peak_175					
chr18	108010	109057	1048	108177	6504	190.52	1.47545	184.334	GoodSOCS3peaks_peak_176	ROCK1P1	0.5315	1.0		
chr18	110263	110617	355	110409	2366	98.3311	1.59481	92.5789	GoodSOCS3peaks_peak_177	ROCK1P1	1.173			
chr18	8341356	8341733	378	8341400	17	5.61246	3.15082	1.82082	GoodSOCS3peaks_peak_178	ENSG00000266149	25.4895			
chr18	15909923	15910233	311	15910049	30	6.41687	2.63334	2.49714	GoodSOCS3peaks_peak_179	ENSG00000215512	579.796			
chr18	16109997	16110355	359	16110198	44	8.57564	2.63108	4.40695	GoodSOCS3peaks_peak_180	ENSG00000215512	779.894			
chr18	17635574	17636176	603	17635977	33	6.71437	2.59173	2.75245	GoodSOCS3peaks_peak_181	ENSG00000215512	2305.593			
chr18	18238486	18238834	349	18238779	20	6.8901	3.41759	2.90897	GoodSOCS3peaks_peak_182	ROCK1	2716.21		-0.39563	
chr18	18876417	18876750	334	18876442	31	5.3454	2.32021	1.59985	GoodSOCS3peaks_peak_183	ROCK1	2078.2865		-0.39563	
chr18	19579931	19580254	324	19580096	23	9.5909	4.20109	5.33009	GoodSOCS3peaks_peak_184	ROCK1	1374.7775		-0.39563	
chr18	63963506	63963939	434	63963748	37	17.0608	5.22409	12.385	GoodSOCS3peaks_peak_185	HMSD	3.5405		0.30255	
chr18	78753766	78754140	375	78753872	19	6.03781	3.15811	2.17156	GoodSOCS3peaks_peak_186	ENSG00000266273	42.719			
chr19	24722948	24723266	319	24723172	33	8.56482	3.06338	4.3985	GoodSOCS3peaks_peak_187	ENSG00000268442	559.623			
chr19	24930043	24930431	389	24930177	343	24.1477	1.82818	19.2575	GoodSOCS3peaks_peak_188	ENSG00000268442	766.753			
chr19	24932578	24932930	353	24932702	215	36.9152	2.7308	31.7594	GoodSOCS3peaks_peak_189	ENSG00000268442	769.27			
chr19	25058455	25058791	337	25058487	52	7.27476	2.21843	3.24416	GoodSOCS3peaks_peak_190	ENSG00000268442	895.139			
chr19	25075382	25075698	317	25075484	77	12.4549	2.49229	7.99667	GoodSOCS3peaks_peak_191	ENSG00000268442	912.056			
chr19	25088656	25088977	322	25088879	129	18.3299	2.39909	13.6089	GoodSOCS3peaks_peak_192	ENSG00000268442	925.3325			
chr19	25150392	25150715	324	25150494	46	9.45957	2.73922	5.21111	GoodSOCS3peaks_peak_193	ENSG00000268442	987.0695			
chr19	25206195	25206506	312	25206318	40	8.32246	2.70834	4.17859	GoodSOCS3peaks_peak_194	ENSG00000268442	1042.8665			
chr19	25231280	25231613	334	25231498	110	19.2938	2.68146	14.539	GoodSOCS3peaks_peak_195	ENSG00000268442	1067.9625			
chr19	25240533	25240857	325	25240598	33	7.27809	2.73194	3.2462	GoodSOCS3peaks_peak_196	ENSG00000268442	1077.211			
chr19	25287039	25287385	347	25287298	30	13.3559	4.79997	8.84511	GoodSOCS3peaks_peak_197	ENSG00000268442	1123.728			
chr19	25295483	25295839	357	25295736	97	15.1919	2.48885	10.5914	GoodSOCS3peaks_peak_198	ENSG00000268442	1132.177			
chr19	25488680	25489031	352	25488920	28	11.9935	4.54114	7.56373	GoodSOCS3peaks_peak_199	ENSG00000268442	1325.3715			
chr19	25591264	25591580	317	25591340	40	8.32246	2.70834	4.17859	GoodSOCS3peaks_peak_200	ENSG00000268442	1427.938			
chr19	25667825	25668147	323	25667924	76	16.9223	3.05105	12.2513	GoodSOCS3peaks_peak_201	ENSG00000268442	1504.502			
chr19	25788222	25788585	364	25788450	32	9.52185	3.3838	5.2685	GoodSOCS3peaks_peak_202	ENSG00000268442	1624.9195			
chr19	25800389	25800727	339	25800441	68	13.6051	2.80899	9.08114	GoodSOCS3peaks_peak_203	ENSG00000268442	1637.074			
chr19	25912014	25912326	313	25912217	44	9.54031	2.82078	5.2845	GoodSOCS3peaks_peak_204	ENSG00000279882	1727.495			
chr19	25913232	25913542	311	25913344	53	6.52011	2.0841	2.58663	GoodSOCS3peaks_peak_205	ENSG00000279882	1726.278			
chr19	25986968	25987293	326	25987096	31	14.2817	5.01092	9.72342	GoodSOCS3peaks_peak_206	ENSG00000279882	1652.5345			
chr19	26018279	26018616	338	26018391	43	8.61292	2.66911	4.43987	GoodSOCS3peaks_peak_207	ENSG00000279882	1621.2175			
chr19	26168208	26168545	338	26168425	34	18.4355	6.12659	13.7104	GoodSOCS3peaks_peak_208	ENSG00000279882	1471.2885			
chr19	26226698	26227038	341	26227023	57	10.7143	2.65192	6.37109	GoodSOCS3peaks_peak_209	ENSG00000279882	1412.797			
chr19	26461175	26461509	335	26461385	221	44.1806	3.01173	38.9329	GoodSOCS3peaks_peak_210	ENSG00000279882	1178.323			
