chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name	closest feature	distance	within bflag	go=peroxisome organization
chr1	3504512	3505133	622	3504806	72	48.5542	9.57779	44.9438	HEK293Ts4peaks_peak_29	MEGF6	8.1055		
chr1	4223960	4224505	546	4224192	51	33.2204	8.5024	29.7212	HEK293Ts4peaks_peak_30	EEF1DP6	48.3335		
chr1	4352783	4354549	1767	4353336	181	224.411	35.8149	220.356	HEK293Ts4peaks_peak_31	LINC01777	58.361		
chr1	4422973	4423551	579	4423318	41	28.1727	8.65273	24.7195	HEK293Ts4peaks_peak_32	LINC01777	6.951		
chr1	4656144	4656615	472	4656401	34	17.3575	5.72277	14.0321	HEK293Ts4peaks_peak_33	AJAP1	1.6475		
chr1	5989962	5990414	453	5990195	45	29.3854	8.28131	25.9195	HEK293Ts4peaks_peak_34	KCNAB2	0.739	1.0	
chr1	6448776	6449172	397	6448961	39	20.8148	6.22028	17.4421	HEK293Ts4peaks_peak_35	ESPN	0.081	1.0	
chr1	6486302	6486812	511	6486564	51	28.7249	7.03187	25.2653	HEK293Ts4peaks_peak_36	PLEKHG5	0.603	1.0	
chr1	6497121	6501722	4602	6498860	2651	6225.93	491.383	6219.89	HEK293Ts4peaks_peak_37	PLEKHG5	1.9975		
chr1	6661919	6662341	423	6662072	33	16.5203	5.55926	13.2087	HEK293Ts4peaks_peak_38	DNAJC11	6.08		
chr1	7669350	7669815	466	7669603	56	40.1587	9.9479	36.6062	HEK293Ts4peaks_peak_39	CAMTA1	0.1765	1.0	
chr1	8094120	8094429	310	8094321	19	8.58694	4.27462	5.48331	HEK293Ts4peaks_peak_40	RPL7AP18	35.8115		
chr1	8197489	8197861	373	8197670	22	10.5722	4.75507	7.39787	HEK293Ts4peaks_peak_41	LINC01714	3.843		
chr1	8423448	8424226	779	8423631	19	7.64229	3.84296	4.5893	HEK293Ts4peaks_peak_42	RERE	0.171	1.0	
chr1	8834975	8835284	310	8835089	19	9.20096	4.56658	6.07231	HEK293Ts4peaks_peak_43	RPL23AP19	4.1225		
chr1	9164380	9164685	306	9164585	20	8.56517	4.13248	5.46418	HEK293Ts4peaks_peak_44	ENSG00000289914	1.5875		
chr1	9266747	9267080	334	9266895	24	8.58085	3.70074	5.47809	HEK293Ts4peaks_peak_45	H6PD	1.3835		
chr1	9290332	9292858	2527	9291712	1079	2065.21	182.895	2060.06	HEK293Ts4peaks_peak_46	SPSB1	1.299		
chr1	9539424	9539844	421	9539511	17	5.91891	3.28681	2.98578	HEK293Ts4peaks_peak_47	SLC25A33	0.169	1.0	
chr1	9654766	9655216	451	9654964	56	41.4139	10.4082	37.8523	HEK293Ts4peaks_peak_48	PIK3CD-AS1	0.405	1.0	
chr1	10195490	10196251	762	10195849	202	209.045	24.2894	205.011	HEK293Ts4peaks_peak_49	KIF1B	14.6995		
chr1	10691552	10693256	1705	10692463	530	870.51	95.5951	865.919	HEK293Ts4peaks_peak_50	CASZ1	1.508		
chr1	11747056	11749877	2822	11748622	1235	2443.08	211.827	2437.79	HEK293Ts4peaks_peak_51	AGTRAP	0.9545	1.0	
chr1	12079630	12080053	424	12079822	54	26.0568	5.90549	22.6228	HEK293Ts4peaks_peak_52	RPL23AP89	0.7055	1.0	
chr1	12121904	12122243	340	12122063	35	20.0002	6.56383	16.636	HEK293Ts4peaks_peak_53	TNFRSF8	3.8255		
chr1	12549497	12549949	453	12549706	64	41.2702	8.78984	37.7095	HEK293Ts4peaks_peak_54	RNU6ATAC18P	20.349		
chr1	12822177	12822449	273	12822345	16	6.18715	3.51462	3.23282	HEK293Ts4peaks_peak_55	LINC01784	0.846	1.0	
chr1	12876622	12877360	739	12877019	163	187.496	29.5247	183.492	HEK293Ts4peaks_peak_56	PRAMEF4	9.21		
chr1	13046963	13047512	550	13047274	79	77.9943	18.2663	74.2354	HEK293Ts4peaks_peak_57	PRAMEF27	9.3375		
chr1	13181411	13181710	300	13181590	28	17.0254	6.62154	13.7045	HEK293Ts4peaks_peak_58	PRAMEF9	9.7125		
chr1	14687289	14687628	340	14687442	15	5.76286	3.4197	2.84134	HEK293Ts4peaks_peak_59	TBCAP2	5.1545		
chr1	15105875	15106523	649	15106144	101	101.984	20.2818	98.1473	HEK293Ts4peaks_peak_60	TMEM51-AS1	46.259		
chr1	15301146	15301493	348	15301338	28	12.5289	4.74172	9.29721	HEK293Ts4peaks_peak_61	FHAD1	4.4415		
chr1	15413910	15414449	540	15414025	27	9.72356	3.83222	6.57826	HEK293Ts4peaks_peak_62	EFHD2	3.9145		
chr1	15788290	15788829	540	15788517	37	19.9404	6.21329	16.5773	HEK293Ts4peaks_peak_63	RPL12P14	4.2365		
chr1	15799491	15799952	462	15799907	14	5.11727	3.20597	2.2676	HEK293Ts4peaks_peak_64	RPL12P14	6.9255		
chr1	15878787	15879488	702	15879207	81	80.7593	18.723	76.9893	HEK293Ts4peaks_peak_65	SPEN	2.5615		
chr1	16173370	16173728	359	16173602	18	6.74623	3.55508	3.7488	HEK293Ts4peaks_peak_66	ENSG00000224621	14.283		
chr1	16367101	16367747	647	16367423	121	118.709	19.9479	114.829	HEK293Ts4peaks_peak_67	SZRD1	0.159	1.0	
chr1	16597164	16597493	330	16597333	18	5.9064	3.18921	2.97559	HEK293Ts4peaks_peak_68	NBPF1	5.7205		
chr1	16644690	16645187	498	16644832	58	11.6209	2.76724	8.41531	HEK293Ts4peaks_peak_69	CROCCP2	0.2525	1.0	
chr1	16963575	16963983	409	16963686	36	19.0678	6.04978	15.7166	HEK293Ts4peaks_peak_70	CROCC	2.249		
chr1	17391301	17391632	332	17391492	20	5.41688	2.83979	2.53665	HEK293Ts4peaks_peak_71	RCC2-AS1	15.2935		
chr1	17491644	17492021	378	17491876	35	19.1704	6.2447	15.8174	HEK293Ts4peaks_peak_72	ARHGEF10L	47.8655		
chr1	17512602	17512974	373	17512821	17	6.86432	3.72136	3.85919	HEK293Ts4peaks_peak_73	ARHGEF10L	26.91		
chr1	17513682	17516238	2557	17514858	1081	1995.14	160.168	1990.01	HEK293Ts4peaks_peak_74	ARHGEF10L	24.738		
chr1	18878141	18878432	292	18878408	18	5.4253	2.98719	2.54425	HEK293Ts4peaks_peak_75	MIR4695	4.9885		
chr1	18879143	18883656	4514	18880992	1927	4221.3	343.842	4215.53	HEK293Ts4peaks_peak_76	MIR4695	1.8755		
chr1	19671278	19672129	852	19671564	105	109.209	21.6814	105.353	HEK293Ts4peaks_peak_77	HTR6	6.8285		
chr1	20505062	20505801	740	20505445	174	213.879	34.7972	209.838	HEK293Ts4peaks_peak_78	MUL1	2.7195		
chr1	20522492	20522998	507	20522715	34	22.4335	7.77157	19.04	HEK293Ts4peaks_peak_79	RPS4XP4	3.244		
chr1	21195729	21196087	359	21195977	24	13.3765	5.70823	10.1249	HEK293Ts4peaks_peak_80	EIF4G3	18.623		
chr1	21210264	21210727	464	21210487	41	20.0103	5.67959	16.6458	HEK293Ts4peaks_peak_81	ECE1	11.5855		
chr1	21217756	21218089	334	21218011	36	16.0206	5.00345	12.7191	HEK293Ts4peaks_peak_82	ECE1	4.1585		
chr1	21955604	21957243	1640	21956349	413	637.801	75.5967	633.366	HEK293Ts4peaks_peak_83	ENSG00000283234	0.4475	1.0	
chr1	22028846	22030818	1973	22029740	884	1750.98	198.83	1745.95	HEK293Ts4peaks_peak_84	ENSG00000285794	0.695	1.0	
chr1	22658101	22658748	648	22658447	129	136.174	23.4037	132.258	HEK293Ts4peaks_peak_85	C1QB	0.9745	1.0	
chr1	22666174	22667875	1702	22666994	296	433.56	60.7487	429.29	HEK293Ts4peaks_peak_86	C1QB	7.6255		
chr1	23198746	23199231	486	23198938	25	13.9098	5.77316	10.6489	HEK293Ts4peaks_peak_87	HTR1D	18.5135		
chr1	23200435	23201554	1120	23200924	427	717.13	97.6952	712.638	HEK293Ts4peaks_peak_88	HTR1D	16.5075		
chr1	23484144	23484514	371	23484327	40	19.8293	5.74931	16.4695	HEK293Ts4peaks_peak_89	ASAP3	0.137	1.0	
chr1	23512770	23513157	388	23512984	36	21.7777	7.08563	18.392	HEK293Ts4peaks_peak_90	E2F2	6.4325		
chr1	23592247	23595192	2946	23593930	1346	2900.29	299.094	2894.85	HEK293Ts4peaks_peak_91	ENSG00000285802	0.0985	1.0	
chr1	23607236	23607552	317	23607395	33	15.7711	5.28724	12.4734	HEK293Ts4peaks_peak_92	ENSG00000285802	13.773		
chr1	23732734	23733147	414	23732941	37	24.1486	7.8562	20.7351	HEK293Ts4peaks_peak_93	ELOA	10.5075		
chr1	23880406	23880842	437	23880649	29	16.6726	6.27105	13.3585	HEK293Ts4peaks_peak_94	FUCA1	12.334		
chr1	23959070	23959469	400	23959289	33	15.0495	5.033	11.7653	HEK293Ts4peaks_peak_95	PNRC2	0.1605	1.0	
chr1	24050143	24050724	582	24050419	71	51.5254	10.6581	47.8968	HEK293Ts4peaks_peak_96	ENSG00000225315	9.5985		
chr1	24204450	24204966	517	24204700	48	37.2014	10.7135	33.6702	HEK293Ts4peaks_peak_97	LINC02800	4.468		
chr1	24415392	24415668	277	24415466	18	5.71133	3.10664	2.79442	HEK293Ts4peaks_peak_98	NIPAL3	0.272	1.0	
chr1	24425846	24426822	977	24426450	218	292.782	45.2765	288.648	HEK293Ts4peaks_peak_99	STPG1	9.4		
chr1	26080476	26080789	314	26080625	18	8.42474	4.33825	5.32847	HEK293Ts4peaks_peak_100	TRIM63	12.1965		
chr1	26081234	26082245	1012	26081810	359	519.093	60.9649	514.749	HEK293Ts4peaks_peak_101	TRIM63	13.3035		
chr1	26161759	26162180	422	26161813	15	5.15752	3.127	2.30238	HEK293Ts4peaks_peak_102	FAM110D	2.8905		
chr1	26620899	26621334	436	26621124	26	11.0309	4.41471	7.83968	HEK293Ts4peaks_peak_103	ENSG00000289452	0.2065	1.0	
chr1	26676405	26676763	359	26676510	24	10.6243	4.50071	7.44759	HEK293Ts4peaks_peak_104	ENSG00000290006	16.002		
chr1	26695583	26695856	274	26695683	27	8.69755	3.48502	5.59063	HEK293Ts4peaks_peak_105	ARID1A	0.2955	1.0	
chr1	26993696	26994442	747	26994122	68	44.2755	9.01156	40.6935	HEK293Ts4peaks_peak_106	TRNP1	0.25	1.0	
chr1	27049563	27049945	383	27049721	28	11.5816	4.39011	8.37722	HEK293Ts4peaks_peak_107	TENT5B	36.904		
chr1	27343283	27343806	524	27343541	51	35.606	9.36148	32.088	HEK293Ts4peaks_peak_108	SYTL1	0.3165	1.0	
chr1	27403100	27403808	709	27403450	112	108.083	19.0233	104.229	HEK293Ts4peaks_peak_109	GPR3	10.832		
chr1	27521484	27525270	3787	27523932	2292	5258.8	431.874	5252.86	HEK293Ts4peaks_peak_110	ENSG00000237429	2.428		
chr1	27568357	27568662	306	27568521	22	8.85082	4.01406	5.73897	HEK293Ts4peaks_peak_111	AHDC1	0.2495	1.0	
chr1	27581141	27582196	1056	27581647	251	346.54	50.108	342.35	HEK293Ts4peaks_peak_112	AHDC1	13.4085		
chr1	27600058	27600396	339	27600082	17	5.86133	3.26108	2.93371	HEK293Ts4peaks_peak_113	AHDC1	3.187		
chr1	27669062	27669482	421	27669265	33	18.2234	6.20842	14.8842	HEK293Ts4peaks_peak_114	ENSG00000225886	0.196	1.0	
chr1	28177003	28180591	3589	28178629	1225	2551.54	257.219	2546.22	HEK293Ts4peaks_peak_115	PTAFR	2.107		
chr1	28291208	28292850	1643	28292204	438	700.707	84.9248	696.226	HEK293Ts4peaks_peak_116	SESN2	32.511		
chr1	28504550	28504998	449	28504767	22	10.1633	4.57335	7.00058	HEK293Ts4peaks_peak_117	RCC1	1.169		
chr1	28511629	28511924	296	28511749	42	17.225	4.74704	13.902	HEK293Ts4peaks_peak_118	RCC1	1.6995		
chr1	28914581	28914899	319	28914862	18	6.20181	3.31596	3.24612	HEK293Ts4peaks_peak_119	EPB41	0.114	1.0	
chr1	29723439	29723743	305	29723539	161	26.3359	2.62341	22.8995	HEK293Ts4peaks_peak_120	ENSG00000228176	14.044		
chr1	30655284	30655694	411	30655615	119	14.2882	2.19309	11.0171	HEK293Ts4peaks_peak_121	MATN1	60.646		
chr1	31586694	31590186	3493	31588770	2312	4988.99	332.513	4983.09	HEK293Ts4peaks_peak_122	TINAGL1	3.289		
chr1	31606063	31607828	1766	31607226	442	748.861	101.15	744.348	HEK293Ts4peaks_peak_123	HCRTR1	10.7405		
chr1	31628698	31628972	275	31628784	13	4.74911	3.12077	1.95682	HEK293Ts4peaks_peak_124	PEF1	6.425		
chr1	31743700	31744369	670	31743949	17	5.91891	3.28681	2.98578	HEK293Ts4peaks_peak_125	ADGRB2	0.3615	1.0	
chr1	31744826	31746150	1325	31745716	344	504.751	62.9972	500.418	HEK293Ts4peaks_peak_126	ADGRB2	1.815		
chr1	31798291	31798617	327	31798559	17	6.83665	3.70832	3.83383	HEK293Ts4peaks_peak_127	SPOCD1	0.161	1.0	
chr1	32068546	32068987	442	32068800	21	8.75065	4.0896	5.64157	HEK293Ts4peaks_peak_128	TMEM39B	3.2645		
chr1	33137942	33138230	289	33138078	24	10.2872	4.36311	7.12056	HEK293Ts4peaks_peak_129	ENSG00000278997	5.144		
chr1	33255274	33255637	364	33255412	28	15.4702	5.93169	12.178	HEK293Ts4peaks_peak_130	ZNF362	1.0365		
chr1	33298642	33299091	450	33298779	23	6.37316	2.98716	3.39904	HEK293Ts4peaks_peak_131	ENSG00000225313	8.4815		
chr1	33472496	33472961	466	33472753	58	50.3812	13.4714	46.7589	HEK293Ts4peaks_peak_132	ZSCAN20	0.0685	1.0	
chr1	33624979	33625258	280	33625191	20	5.88614	3.01893	2.95666	HEK293Ts4peaks_peak_133	CSMD2	1.4655		
chr1	34165075	34165867	793	34165332	36	19.0678	6.04978	15.7166	HEK293Ts4peaks_peak_134	CSMD2	0.241	1.0	
chr1	34967964	34968296	333	34968185	15	5.27175	3.18146	2.40882	HEK293Ts4peaks_peak_135	GPR199P	9.265		
chr1	35030143	35030416	274	35030269	17	7.67033	4.10992	4.61112	HEK293Ts4peaks_peak_136	ZMYM6	1.3525		
chr1	35080659	35081259	601	35081028	65	51.6884	12.0516	48.0579	HEK293Ts4peaks_peak_137	ZMYM1	1.568		
chr1	35439947	35440392	446	35440147	42	26.6887	7.85183	23.2492	HEK293Ts4peaks_peak_138	KIAA0319L	3.0855		
chr1	35564741	35565108	368	35564930	35	15.2559	4.86822	11.9665	HEK293Ts4peaks_peak_139	NCDN	2.4565		
chr1	35743564	35743906	343	35743719	31	19.9173	7.30653	16.5548	HEK293Ts4peaks_peak_140	ENSG00000232335	4.346		
chr1	35785052	35785394	343	35785276	27	16.09	6.39321	12.7851	HEK293Ts4peaks_peak_141	CLSPN	15.245		
chr1	36183746	36184438	693	36183985	72	56.0896	11.9361	52.4336	HEK293Ts4peaks_peak_142	MAP7D1	5.071		
chr1	36187922	36188214	293	36188064	21	7.88397	3.72563	4.81689	HEK293Ts4peaks_peak_143	RN7SL131P	3.847		
chr1	36342737	36343041	305	36342923	22	8.28142	3.78276	5.19656	HEK293Ts4peaks_peak_144	ENSG00000286379	13.259		
chr1	36703051	36703536	486	36703229	36	20.9441	6.75622	17.5669	HEK293Ts4peaks_peak_145	ENSG00000284705	0.6595	1.0	
chr1	37079898	37080451	554	37080154	84	60.4444	10.8529	56.7655	HEK293Ts4peaks_peak_146	GRIK3	45.6595		
chr1	37403123	37403548	426	37403366	35	22.104	7.41663	18.7133	HEK293Ts4peaks_peak_147	ZC3H12A-DT	71.0505		
chr1	38089708	38090284	577	38090202	20	7.84358	3.81671	4.77784	HEK293Ts4peaks_peak_148	MIR3659	0.765	1.0	
chr1	38090934	38092618	1685	38091511	582	1015.41	117.979	1010.73	HEK293Ts4peaks_peak_149	MIR3659	2.545		
chr1	39004886	39005374	489	39005234	29	12.0324	4.44088	8.81483	HEK293Ts4peaks_peak_150	AKIRIN1	13.634		
chr1	39105427	39106790	1364	39106303	445	646.579	64.1162	642.137	HEK293Ts4peaks_peak_151	MACF1	0.6035	1.0	
chr1	39136996	39137380	385	39137152	41	30.3674	9.58982	26.8922	HEK293Ts4peaks_peak_152	RNU6-608P	16.145		
chr1	39194254	39194684	431	39194444	26	15.1696	6.16488	11.8815	HEK293Ts4peaks_peak_153	MACF1	10.226		
chr1	39234948	39235241	294	39235105	24	9.59513	4.08769	6.45299	HEK293Ts4peaks_peak_154	ENSG00000287422	3.5255		
chr1	40601093	40601366	274	40601204	24	12.9434	5.50827	9.70412	HEK293Ts4peaks_peak_155	GTF2F2P2	6.8765		
chr1	40864414	40864941	528	40864682	53	40.3987	10.7374	36.8445	HEK293Ts4peaks_peak_156	ENSG00000229528	0.7635	1.0	
chr1	41227726	41228061	336	41227910	31	16.4714	5.84322	13.1615	HEK293Ts4peaks_peak_157	ENSG00000287400	13.8785		
chr1	41422419	41422847	429	41422623	18	6.55306	3.46941	3.56678	HEK293Ts4peaks_peak_158	RNA5SP45	44.395		
chr1	41544863	41545667	805	41545272	89	26.2791	3.84909	22.843	HEK293Ts4peaks_peak_159	ENSG00000230638	3.196		
chr1	41779279	41779898	620	41779587	66	58.3648	14.3738	54.696	HEK293Ts4peaks_peak_160	HIVEP3	90.0415		
chr1	41923379	41923665	287	41923490	19	9.20096	4.56658	6.07231	HEK293Ts4peaks_peak_161	HIVEP3	4.6		
chr1	42456864	42457204	341	42457016	14	5.54986	3.42494	2.64481	HEK293Ts4peaks_peak_162	PPCS	0.233	1.0	
chr1	43587732	43588937	1206	43588216	169	198.135	31.0421	194.116	HEK293Ts4peaks_peak_163	PTPRF	2.6865		
chr1	43640071	43640717	647	43640407	41	28.4009	8.74744	24.9441	HEK293Ts4peaks_peak_164	KDM4A	9.755		
chr1	43931758	43932490	733	43932259	50	39.1027	10.9825	35.558	HEK293Ts4peaks_peak_165	ARTN	1.196		
chr1	44738278	44738809	532	44738477	23	10.0295	4.38241	6.8698	HEK293Ts4peaks_peak_166	KIF2C	1.2745		
chr1	44774287	44774653	367	44774445	32	18.178	6.36231	14.8406	HEK293Ts4peaks_peak_167	RPS8	0.781	1.0	
chr1	44831345	44833140	1796	44832203	615	1004.06	96.3171	999.388	HEK293Ts4peaks_peak_168	PTCH2	8.9825		
chr1	44998547	44999215	669	44998872	159	201.513	36.5326	197.489	HEK293Ts4peaks_peak_169	HECTD3	6.707		
chr1	45522588	45523055	468	45522830	41	24.5101	7.21966	21.0926	HEK293Ts4peaks_peak_170	PRDX1	0.2255	1.0	
chr1	45524336	45524988	653	45524613	140	126.852	17.5495	122.955	HEK293Ts4peaks_peak_171	PRDX1	1.615		
chr1	45556617	45557009	393	45556830	36	19.1653	6.08531	15.8124	HEK293Ts4peaks_peak_172	AKR1A1	5.745		
chr1	45803187	45804038	852	45803554	206	283.048	47.2641	278.925	HEK293Ts4peaks_peak_173	MAST2	0.0005	1.0	
chr1	46049896	46050877	982	46050428	289	371.849	42.9285	367.635	HEK293Ts4peaks_peak_174	ENSG00000226957	3.5685		
chr1	47765516	47766264	749	47765824	50	34.5476	9.18145	31.0384	HEK293Ts4peaks_peak_175	ENSG00000223814	0.343	1.0	
chr1	50254963	50255545	583	50255314	36	24.9979	8.44817	21.5752	HEK293Ts4peaks_peak_176	ENSG00000284645	2.685		
chr1	51036617	51037094	478	51036861	34	22.9288	7.99152	19.528	HEK293Ts4peaks_peak_177	MIR4421	22.9815		
chr1	51518640	51518961	322	51518881	15	5.51015	3.29628	2.62342	HEK293Ts4peaks_peak_178	EPS15-AS1	0.4175	1.0	
chr1	53618140	53622628	4489	53620767	2074	4228.77	258.265	4223	HEK293Ts4peaks_peak_179	RNU7-95P	68.428		
chr1	54227515	54230880	3366	54229305	1827	3625.36	227.522	3619.72	HEK293Ts4peaks_peak_180	SSBP3	0.2575	1.0	
chr1	54232707	54232983	277	54232851	20	8.34555	4.03511	5.25632	HEK293Ts4peaks_peak_181	SSBP3	3.39		
chr1	54296745	54298311	1567	54297140	119	111.403	18.166	107.541	HEK293Ts4peaks_peak_182	ENSG00000225632	12.124		
chr1	54405746	54406125	380	54405963	18	6.61721	3.49776	3.62708	HEK293Ts4peaks_peak_183	SSBP3	0.0725	1.0	
chr1	54464812	54465221	410	54465051	45	28.0535	7.78996	24.6012	HEK293Ts4peaks_peak_184	ENSG00000232245	48.7605		
chr1	54656881	54657319	439	54657135	28	15.7714	6.06202	12.4737	HEK293Ts4peaks_peak_185	MROH7	3.013		
chr1	54714243	54714545	303	54714477	16	6.18715	3.51462	3.23282	HEK293Ts4peaks_peak_186	TTC4	1.467		
chr1	55351702	55354306	2605	55352452	918	1841.48	209.834	1836.42	HEK293Ts4peaks_peak_187	ENSG00000234810	8.404		
chr1	56089447	56089733	287	56089686	13	4.89523	3.19661	2.07107	HEK293Ts4peaks_peak_188	ENSG00000235612	56.131		
chr1	58785385	58785718	334	58785545	21	10.7695	5.00172	7.58957	HEK293Ts4peaks_peak_189	LINC01135	0.3955	1.0	
chr1	58903670	58904056	387	58903802	21	10.8149	5.02324	7.6298	HEK293Ts4peaks_peak_190	LINC02777	0.116	1.0	
chr1	59970623	59970950	328	59970898	15	6.20055	3.63761	3.24539	HEK293Ts4peaks_peak_191	RN7SL475P	4.2675		
chr1	61063480	61064152	673	61063701	126	147.768	28.9978	143.83	HEK293Ts4peaks_peak_192	NFIA-AS2	6.931		
chr1	61083251	61083888	638	61083733	22	9.29637	4.19981	6.1637	HEK293Ts4peaks_peak_193	NFIA	0.8155	1.0	
chr1	61742387	61742991	605	61742726	103	84.4995	13.9333	80.7166	HEK293Ts4peaks_peak_194	PATJ	0.144	1.0	
chr1	61994524	61994855	332	61994638	22	11.6508	5.25157	8.44171	HEK293Ts4peaks_peak_195	PATJ	42.3775		
chr1	63773904	63774200	297	63774031	20	8.66178	4.17567	5.55658	HEK293Ts4peaks_peak_196	ROR1	0.03	1.0	
chr1	64414643	64414960	318	64414879	19	8.25464	4.12035	5.17042	HEK293Ts4peaks_peak_197	RNU7-62P	30.3425		
chr1	65309553	65310127	575	65310049	25	10.305	4.2512	7.13725	HEK293Ts4peaks_peak_198	DNAJC6	0.297	1.0	
chr1	66925234	66925506	273	66925366	28	12.9711	4.91106	9.73093	HEK293Ts4peaks_peak_199	ENSG00000289394	0.043	1.0	
chr1	67212250	67212610	361	67212444	31	19.9173	7.30653	16.5548	HEK293Ts4peaks_peak_200	IL23R	4.792		
chr1	69410361	69411976	1616	69411515	52	43.0405	12.1014	39.4667	HEK293Ts4peaks_peak_201	LINC01758	22.0865		
chr1	70355579	70355904	326	70355733	17	7.67033	4.10992	4.61112	HEK293Ts4peaks_peak_202	HHLA3	0.8865	1.0	
chr1	70776501	70777173	673	70776782	121	112.744	18.0596	108.878	HEK293Ts4peaks_peak_203	LINC01788	16.455		
chr1	77886867	77889691	2825	77888336	1476	2793.4	183.835	2788	HEK293Ts4peaks_peak_204	NEXN	0.234	1.0	
chr1	81417531	81418793	1263	81417889	123	143.054	28.3128	139.124	HEK293Ts4peaks_peak_205	ADGRL2	3.887		
chr1	81801819	81802277	459	81801975	15	6.23159	3.65326	3.26666	HEK293Ts4peaks_peak_206	ADGRL2	1.05		
chr1	83828683	83830332	1650	83829492	380	598.719	78.7688	594.313	HEK293Ts4peaks_peak_207	LINC01725	31.0385		
chr1	85201659	85202079	421	85201733	23	10.0295	4.38241	6.8698	HEK293Ts4peaks_peak_208	SYDE2	0.145	1.0	
chr1	85464592	85465154	563	85464782	21	9.06858	4.22726	5.94874	HEK293Ts4peaks_peak_209	DDAH1	0.286	1.0	
chr1	86950827	86952625	1799	86951655	702	1237	126.56	1232.21	HEK293Ts4peaks_peak_210	HS2ST1	4.758		
chr1	87335182	87335494	313	87335208	16	5.30746	3.10421	2.44074	HEK293Ts4peaks_peak_211	LMO4	3.557		
chr1	89524609	89525086	478	89524858	31	16.2634	5.76091	12.9561	HEK293Ts4peaks_peak_212	LRRC8B	0.0065	1.0	
